id,word,reading,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,image_type,visual_domain,image_query_en,review,meaning_zh_source,meaning_zh_review
n2_04836,破れる,やぶれる,"to get torn,to wear out",撕裂,FALSE,,person_action_scene,action_state,person getting torn,,,
n2_04862,突き当たる,つきあたる,"to run into,to collide with",撞上,FALSE,,person_action_scene,action_state,person running into,,,
n2_04863,突く,つく,"(1) to thrust,to strike,(2) to poke",刺入,FALSE,,person_action_scene,action_state,person thrusting,,,
n2_04864,突っ込む,つっこむ,"to plunge into,to go into deeply",冲入,FALSE,,person_action_scene,action_state,person plunging into,,,
n2_04866,立ち止まる,たちどまる,"to stop,to halt,to stand still",停下、止步,TRUE,manual correction: stop / halt,person_action_scene,action_state,person stopping,,,
n2_04917,縛る,しばる,"to tie,to bind",系、绑,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person tying,,,
n2_04921,縮める,ちぢめる,"to shorten,to reduce,to boil down,to shrink",缩短,FALSE,,person_action_scene,action_state,person shortenning,,,
n2_04928,纏める,まとめる,"to put in order,to collect,to bring to a conclusion",汇总,FALSE,,person_action_scene,action_state,person putting in order,,,
n2_04944,背負う,せおう,"to be burdened with,to carry on back or shoulder",负担,FALSE,,person_action_scene,action_state,person being burdened with,,,
n2_04950,腰掛ける,こしかける,to sit (down),坐下,FALSE,,person_action_scene,action_state,person sitting,,,
n2_04979,著す,あらわす,"to write,to publish",著述、出版,TRUE,manual correction: write / publish,person_action_scene,action_state,person writing,,,
n2_05012,裏返す,うらがえす,"to turn inside out,to turn (something) over",翻转；倒转,TRUE,Multiple senses may require clarification,person_action_scene,action_state,person turning inside out,,,
n2_05030,見舞う,みまう,"to ask after (health),to visit",探望、慰问,TRUE,manual correction: visit / ask after health,person_action_scene,action_state,person asking after,,,
n2_05045,言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice",开始说、提出,TRUE,manual correction: start talking / suggest,person_action_scene,action_state,person starting talking,,,
n2_05046,言付ける,ことづける,"to send word,to send a message",传达,FALSE,,person_action_scene,action_state,person sending word,,,
n2_05048,討つ,うつ,"to attack,to avenge",攻击,FALSE,,person_action_scene,action_state,person attacking,,,
n2_05059,誓う,ちかう,"to swear,to vow,to take an oath,to pledge",发誓,FALSE,,person_action_scene,action_state,person swearing,,,
n2_05065,請う,こう,"to ask,to request",请求、乞求,TRUE,manual correction: ask / request,person_action_scene,action_state,person asking,,,
n2_05089,跳ねる,はねる,"to jump,to leap",跳跃,FALSE,,person_action_scene,action_state,person jumping,,,
n2_05090,跳ぶ,とぶ,"to jump,to fly,to leap",跳跃,FALSE,,person_action_scene,action_state,person jumping,,,
n2_05101,載せる,のせる,"to place on (something),to take on board,to give a ride",放上、载上,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person placing on,,,
n2_05109,近付ける,ちかづける,"to bring near,to put close,to let come near,to associate with",接近,FALSE,,person_action_scene,action_state,person bringing near,,,
n2_05114,追い掛ける,おいかける,"to chase or run after someone,to run down,to pursue",追赶、追逐,TRUE,manual fill from English/JMdict,person_action_scene,action_state,person chasing or run after someone,,,
n2_05118,退ける,どける,"to remove,to take away,to dislodge,to put something out of the way",移开、挪开,TRUE,manual fill from English/JMdict,person_action_scene,action_state,person removing,,,
n2_05130,通り掛かる,とおりかかる,to happen to pass by,碰巧路过,TRUE,manual fill from English/JMdict,person_action_scene,action_state,person happenning to pass by,,,
n2_05142,逸れる,それる,"to stray (turn) from subject,to get lost,to go astray",偏离、走偏,TRUE,manual fill from English/JMdict,person_action_scene,action_state,person straying from subject,,,
n2_05151,遡る,さかのぼる,"to go back,to go upstream,to make retroactive",追溯、逆流而上,TRUE,manual correction: go back / go upstream,person_action_scene,action_state,person going back,,,
n2_05153,遭う,あう,"to meet,to encounter (undesirable nuance)",遭遇、碰上,TRUE,manual correction: meet with undesirable nuance,person_action_scene,action_state,person meeting,,,
n2_05169,重ねる,かさねる,"to pile up,to put something on another,to heap up,to add,to repeat",堆积起来,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person piling up,,,
n2_05245,預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of",保管、代管,TRUE,manual fill from English/JMdict,person_action_scene,action_state,person keeping in custody,,,
n2_05254,飛び込む,とびこむ,"to jump in,to leap in,to plunge into,to dive",跳入、冲进,TRUE,manual fill from English/JMdict,person_action_scene,action_state,person jumping in,,,
