id,word,reading,meaning,meaningZh,image_type,visual_domain,image_query_en,review
n1_03078,貶す,けなす,to speak ill of,诋毁；贬低,person_action_scene,action_state,person speaking ill of,
n1_03082,賄う,まかなう,to give board to;to provide meals;to pay,供养；供给,person_action_scene,action_state,person giving board to,
n1_03104,赴く,おもむく,to go;to proceed;to repair to;to become,前往；去向,person_action_scene,action_state,person going,
n1_03117,跨がる,またがる,to extend over or into;to straddle,跨过,person_action_scene,action_state,person extending over or into,
n1_03118,跨ぐ,またぐ,to straddle,跨过,person_action_scene,action_state,person straddling,
n1_03123,躓く,つまずく,to stumble;to trip,绊倒；踩空,person_action_scene,action_state,person stumbling,
n1_03138,転じる,てんじる,to turn;to shift;to alter;to distract,转移；转变,person_action_scene,action_state,person turning,
n1_03163,込める,こめる,to include;to put into,包含；放入,person_action_scene,action_state,person including,
n1_03178,追い出す,おいだす,to expel;to drive out,驱逐；赶走,person_action_scene,action_state,person expelling,
n1_03179,追い込む,おいこむ,to herd;to corner;to drive,围堵；逼迫,person_action_scene,action_state,person herding,
n1_03184,退ける,しりぞける,to repel;to drive away,排斥；驱赶,person_action_scene,action_state,person repelling,
n1_03190,逃げ出す,にげだす,to run away;to escape from,逃跑；逃离,person_action_scene,action_state,person running away,
n1_03195,逆上る,さかのぼる,to go back;to go upstream;to make retroactive,逆流而上；追溯,person_action_scene,action_state,person going back,
n1_03202,通りかかる,とおりかかる,to happen to pass by,路经；偶然经过,person_action_scene,action_state,person happenning to pass by,
n1_03206,造る,つくる,to make;to create;to manufacture;to draw up;to write;to compose;to build;to coin;to cultivate;to org,制作；创造,person_action_scene,action_state,person making,
n1_03207,連なる,つらなる,to extend;to stretch out;to stand in a row,连续,person_action_scene,action_state,person extending,
n1_03208,連ねる,つらねる,to link;to join;to put together,串联；连接,person_action_scene,action_state,person linking,
n1_03223,逸らす,そらす,to turn away;to avert,转移；避开,person_action_scene,action_state,person turning away,
n1_03224,遂げる,とげる,to accomplish;to achieve;to carry out,完成；实现,person_action_scene,action_state,person accomplishing,
n1_03246,遠ざかる,とおざかる,to go far off,远离,person_action_scene,action_state,person going far off,
n1_03250,遣り通す,やりとおす,to carry through;to achieve;to complete,完成；实现,person_action_scene,action_state,person carrying through,
n1_03251,遣る,やる,to do;to have sexual intercourse;to kill;to give (to inferiors animals etc.);to dispatch (a letter,给；做；交配；杀死；派遣,person_action_scene,action_state,person doing,
n1_03328,間違う,まちがう,to make a mistake;to be incorrect;to be mistaken,犯错；错误,person_action_scene,action_state,person making a mistake,
n1_03354,集まる,あつまる,to gather;to collect;to assemble,聚集,person_action_scene,action_state,person gatherring,
n1_03369,零す,こぼす,to spill,洒落,person_action_scene,action_state,person spilling,
n1_03370,零れる,こぼれる,to overflow;to spill,溢出,person_action_scene,action_state,person overflowwing,
n1_03414,顧みる,かえりみる,to look back;to turn around;to review,回顾,person_action_scene,action_state,person looking back,
n1_03419,食い違う,くいちがう,to cross each other;to run counter to;to differ;to clash;to go awry,分歧,person_action_scene,action_state,person crossing each other,
n1_03420,飲み込む,のみこむ,to gulp down;to swallow deeply;to understand;to take in;to catch on to;to learn;to digest,吞咽,person_action_scene,action_state,person gulping down,
n1_03438,駆ける,かける,to run (race esp. horse);to gallop;to canter,奔跑,person_action_scene,action_state,person running,
n1_03441,騙す,だます,to trick;to cheat;to deceive,欺骗,person_action_scene,action_state,person tricking,
n1_03463,齎らす,もたらす,to bring;to take;to bring about,带来；造成,person_action_scene,action_state,person bringing,
